Family,Accuracy Mean,Accuracy Std Dev,Balanced Accuracy Mean,Balanced Accuracy Std Dev,F1 Score Mean,F1 Score Std Dev,Precision Mean,Precision Std Dev,Recall Mean,Recall Std Dev,FPR Mean,FPR Std Dev,TPR Mean,TPR Std Dev,Query Time Mean,Query Time Std Dev
verblecon,0.9613333333333334,0.018749814813900312,0.9613333333333334,0.01874981481390033,0.9630856412701498,0.017333989860726394,0.9293376978097289,0.03219353008026922,1.0,0.0,0.07733333333333334,0.037499629627800624,1.0,0.0,0.027878805398940994,0.0011346623497988705
bigviktor,0.5160000000000001,0.02457641145488903,0.516,0.024576411454889032,0.181789475266315,0.06258572889879754,0.5905528730528731,0.15029062796255835,0.10933333333333335,0.04186751591495356,0.07733333333333334,0.037499629627800624,0.10933333333333335,0.04186751591495356,0.028017700831095334,0.0010177409755595089
goz,0.9613333333333334,0.018749814813900312,0.9613333333333334,0.01874981481390033,0.9630856412701498,0.017333989860726394,0.9293376978097289,0.03219353008026922,1.0,0.0,0.07733333333333334,0.037499629627800624,1.0,0.0,0.02800889460245764,0.0010200681930421023
new_goz,0.9613333333333334,0.018749814813900312,0.9613333333333334,0.01874981481390033,0.9630856412701498,0.017333989860726394,0.9293376978097289,0.03219353008026922,1.0,0.0,0.07733333333333334,0.037499629627800624,1.0,0.0,0.0280004505316416,0.0009853000213362493
ccleaner,0.9056666666666668,0.02704112094980942,0.9056666666666667,0.027041120949809407,0.9039570260500102,0.0277683035716863,0.9211571838707815,0.03587093221147413,0.8886666666666667,0.037835902996433905,0.07733333333333334,0.037499629627800624,0.8886666666666667,0.037835902996433905,0.02821180558204646,0.00123852105031647
enviserv,0.9236666666666665,0.023449709782615385,0.9236666666666664,0.023449709782615385,0.9237359174506493,0.02339881328252579,0.9241594649555435,0.03399420690689256,0.9246666666666667,0.034903040300555785,0.07733333333333334,0.037499629627800624,0.9246666666666667,0.034903040300555785,0.028357341130574507,0.0013780761378902175
xshellghost,0.9376666666666668,0.023760377849595622,0.9376666666666665,0.023760377849595653,0.9386688967579009,0.023114696471480005,0.9261134604450066,0.033706763840181,0.9526666666666669,0.030324174441451083,0.07733333333333334,0.037499629627800624,0.9526666666666669,0.030324174441451083,0.02827842799822485,0.0012495308922760282
bazarbackdoor,0.736,0.09474879066950319,0.736,0.09474879066950319,0.6572237792462554,0.1553334233068209,0.8688490899641116,0.06578036311995937,0.5493333333333333,0.19174520130168113,0.07733333333333334,0.037499629627800624,0.5493333333333333,0.19174520130168113,0.02825948810577388,0.0011903223666642384
pizd,0.7033333333333334,0.04391911757866828,0.7033333333333334,0.04391911757866829,0.6170751789193702,0.07072222396077649,0.8629790639462753,0.061945206011741236,0.48400000000000004,0.07648965071607183,0.07733333333333334,0.037499629627800624,0.48400000000000004,0.07648965071607183,0.02819603761037186,0.0011060552093403358
bumblebee,0.9036666666666668,0.031673683433131386,0.9036666666666668,0.03167368343313138,0.9014642681270433,0.03324182692315247,0.9207085622714418,0.0362926348850503,0.8846666666666668,0.04807863928560745,0.07733333333333334,0.037499629627800624,0.8846666666666668,0.04807863928560745,0.028146975994110066,0.0011326831226969743
dmsniff,0.8446666666666665,0.09204105364214143,0.8446666666666665,0.09204105364214142,0.8201790434666231,0.12156692367458279,0.9055032788333932,0.04856703709523872,0.7666666666666665,0.1798765008430939,0.07733333333333334,0.037499629627800624,0.7666666666666665,0.1798765008430939,0.028232974767684892,0.0011072264886833043
sharkbot,0.9613333333333334,0.018749814813900312,0.9613333333333334,0.01874981481390033,0.9630856412701498,0.017333989860726394,0.9293376978097289,0.03219353008026922,1.0,0.0,0.07733333333333334,0.037499629627800624,1.0,0.0,0.028166455507278396,0.0011346908762745079
ngioweb,0.615,0.04047633053197058,0.615,0.04047633053197055,0.44193511809569774,0.07065489273937015,0.7991498435631563,0.09830624586677594,0.3073333333333333,0.05921336185543109,0.07733333333333334,0.037499629627800624,0.3073333333333333,0.05921336185543109,0.02832182645797725,0.0014195802455618442
tufik,0.961,0.018502252115170557,0.9609999999999999,0.018502252115170575,0.9627491370314907,0.017091038317245063,0.9293125595492966,0.032168661188985155,0.9993333333333333,0.003590109871423007,0.07733333333333334,0.037499629627800624,0.9993333333333333,0.003590109871423007,0.02820474338531489,0.0009827653040031892
